report_start,report_end,granularity,ad_id,ad_name,ad_status,adgroup_id,adgroup_name,campaign_id,campaign_name,date_created,currency,spend,net_cost,impressions,destination_clicks,conversions,all_channels_total_purchases,all_channels_cost_per_purchase,all_channels_value_per_purchase,all_channels_purchase_value_inferred,website_vta_purchase_roas,website_cta_purchase_roas,source_file,attribution_window_note,platform_roas_from_inferred_purchase_value
2026-01-01,2026-04-17,ad_range_total,1858789299762209,바이오 밸런스,활성,1858788375333426,건강기능식품 광고그룹,1858788275666081,건강기능식품 스마트+캠페인,2026-03-05 12:05:05,KRW,1360378,1360378,699343,24102,16,16,85024,256076,4097208,1.08,1.93,data/ads_csv/tiktok/raw/20260101_20260417_ad_report.xlsx,export column absent; assume TikTok default 7-day click / 1-day view unless Ads Manager setting proves otherwise,3.011816
2026-01-01,2026-04-17,ad_range_total,1858789066898866,방탄젤리,활성,1858788375333426,건강기능식품 광고그룹,1858788275666081,건강기능식품 스마트+캠페인,2026-03-05 12:00:10,KRW,2838340,2838340,2338010,41849,58,58,48937,384158,22281142,1.5,5.99,data/ads_csv/tiktok/raw/20260101_20260417_ad_report.xlsx,export column absent; assume TikTok default 7-day click / 1-day view unless Ads Manager setting proves otherwise,7.850061
2026-01-01,2026-04-17,ad_range_total,1858788379383969,리셋데이,일시 중지,1858788375333426,건강기능식품 광고그룹,1858788275666081,건강기능식품 스마트+캠페인,2026-03-05 11:56:11,KRW,200988,200988,198336,2415,1,1,200988,245000,245000,0.0,1.22,data/ads_csv/tiktok/raw/20260101_20260417_ad_report.xlsx,export column absent; assume TikTok default 7-day click / 1-day view unless Ads Manager setting proves otherwise,1.218978
2026-01-01,2026-04-17,ad_range_total,1856879993833505,연뜰살뜰 종대사 음과검 할인 링크,활성,1854348023698738,음과검 스마트+ 광고그룹,1854347729644690,음과검 스마트+ 캠페인,2026-02-12 10:21:57,KRW,11407130,11389940,6748114,178653,126,126,90533,656806,82757604,0.46,6.58,data/ads_csv/tiktok/raw/20260101_20260417_ad_report.xlsx,export column absent; assume TikTok default 7-day click / 1-day view unless Ads Manager setting proves otherwise,7.254901
2026-01-01,2026-04-17,ad_range_total,1856729446998145,260210_종합호르몬균형 분석 -1,일시 중지,1856728084965490,호르몬 검사 광고 그룹,1856728035726529,호르몬 검사 캠페인,2026-02-10 18:30:08,KRW,1246501,1230919,627206,28559,7,7,178072,81222,568551,0.23,0.03,data/ads_csv/tiktok/raw/20260101_20260417_ad_report.xlsx,export column absent; assume TikTok default 7-day click / 1-day view unless Ads Manager setting proves otherwise,0.456118
2026-01-01,2026-04-17,ad_range_total,1856728116870433,260210_스트레스 노화 분석 -1,일시 중지,1856728084965490,호르몬 검사 광고 그룹,1856728035726529,호르몬 검사 캠페인,2026-02-10 18:18:07,KRW,991845,910029,897128,17121,14,14,70846,238000,3332000,0.49,2.17,data/ads_csv/tiktok/raw/20260101_20260417_ad_report.xlsx,export column absent; assume TikTok default 7-day click / 1-day view unless Ads Manager setting proves otherwise,3.359396
2026-01-01,2026-04-17,ad_range_total,1856156158741666,영양중금속분석 스마트+ 광고,활성,1856156699384882,영양중금속분석 광고그룹,1856156648605858,영양중금속분석 스마트+ 캠페인,2026-02-04 10:47:17,KRW,7289211,7166971,3194389,207691,100,100,72892,243171,24317060,0.53,2.19,data/ads_csv/tiktok/raw/20260101_20260417_ad_report.xlsx,export column absent; assume TikTok default 7-day click / 1-day view unless Ads Manager setting proves otherwise,3.336035
2026-01-01,2026-04-17,ad_range_total,1855718193842226,연뜰살뜰 종대사 공구,활성,1854918914982210,종대사 스마트+ 광고그룹,1854918885396689,종합대사기능 분석 스마트+캠페인,2026-01-30 14:35:12,KRW,15945800,15779106,9514255,279012,147,147,108475,235150,34567068,0.56,1.07,data/ads_csv/tiktok/raw/20260101_20260417_ad_report.xlsx,export column absent; assume TikTok default 7-day click / 1-day view unless Ads Manager setting proves otherwise,2.167785
2026-01-01,2026-04-17,ad_range_total,1854918964879665,종합 대사기능 분석 광고,활성,1854918914982210,종대사 스마트+ 광고그룹,1854918885396689,종합대사기능 분석 스마트+캠페인,2026-01-21 18:53:41,KRW,4975559,4813702,1003860,91319,95,95,52374,1268192,120478200,0.34,23.74,data/ads_csv/tiktok/raw/20260101_20260417_ad_report.xlsx,export column absent; assume TikTok default 7-day click / 1-day view unless Ads Manager setting proves otherwise,24.214003
2026-01-01,2026-04-17,ad_range_total,1854348012640609,광고 이름2026-01-15 11:28:27,활성,1854348023698738,음과검 스마트+ 광고그룹,1854347729644690,음과검 스마트+ 캠페인,2026-01-15 11:29:42,KRW,24884049,24297389,12980526,59418,302,302,82398,2465601,744611381,0.55,29.31,data/ads_csv/tiktok/raw/20260101_20260417_ad_report.xlsx,export column absent; assume TikTok default 7-day click / 1-day view unless Ads Manager setting proves otherwise,29.92324
2026-01-01,2026-04-17,ad_range_total,1854281861470546,260114_연뜰2차릴스_음과검,일시 중지,1854281861470530,음식물 과민증 검사,1854281861468210,음식물과민증검사 캠페인,2026-01-14 17:56:56,KRW,40809,35796,7996,254,0,0,0,0,0,0.0,0.0,data/ads_csv/tiktok/raw/20260101_20260417_ad_report.xlsx,export column absent; assume TikTok default 7-day click / 1-day view unless Ads Manager setting proves otherwise,0.0
2026-01-01,2026-04-17,ad_range_total,1854281870596209,260114_14만유튜버_음과검,일시 중지,1854281861470530,음식물 과민증 검사,1854281861468210,음식물과민증검사 캠페인,2026-01-14 17:56:56,KRW,8074,4371,12640,91,0,0,0,0,0,0.0,0.0,data/ads_csv/tiktok/raw/20260101_20260417_ad_report.xlsx,export column absent; assume TikTok default 7-day click / 1-day view unless Ads Manager setting proves otherwise,0.0
2026-01-01,2026-04-17,ad_range_total,1854281870604561,260114_연뜰1차릴스_음과검,일시 중지,1854281861470530,음식물 과민증 검사,1854281861468210,음식물과민증검사 캠페인,2026-01-14 17:56:56,KRW,8747,7988,5225,90,0,0,0,0,0,0.0,0.0,data/ads_csv/tiktok/raw/20260101_20260417_ad_report.xlsx,export column absent; assume TikTok default 7-day click / 1-day view unless Ads Manager setting proves otherwise,0.0
2026-01-01,2026-04-17,ad_range_total,1854281870610481,260114_셀렉트피부_음과검,일시 중지,1854281861470530,음식물 과민증 검사,1854281861468210,음식물과민증검사 캠페인,2026-01-14 17:56:56,KRW,4626,3586,4598,25,0,0,0,0,0,0.0,0.0,data/ads_csv/tiktok/raw/20260101_20260417_ad_report.xlsx,export column absent; assume TikTok default 7-day click / 1-day view unless Ads Manager setting proves otherwise,0.0
