"보고 시작","보고 종료","광고 이름","광고 게재","광고 세트 이름","광고 세트 예산","광고 세트 예산 유형","구매 ROAS(광고 지출 대비 수익률)","최근 영향이 큰 변경","기여 설정",도달,노출,"CPC(전체) (KRW)",결과,"결과 표시 도구",CTR(전체),"품질 순위","전환율 순위","지출 금액 (KRW)","구매 전환값",빈도,"고유 링크 클릭",구매,"평균 구매 전환값","결과 값","결과 ROAS 표시 도구",구매,"결과 ROAS"
2026-04-04,2026-04-10,"[Hoox음과검종대사2] 03.23-27 - 사본",inactive,"인플루언서 공동구매 파트너 광고","캠페인 예산 사용",0,,2026-04-08T09:33:30+0900,"클릭 후 7일 또는 조회 후 1일",0,0,0,,,0,-,-,0,,0,,,,,,,
2026-04-04,2026-04-10,"[연뜰살뜰x음과검] mast검사 스토리2 - 사본",active,"인플루언서 공동구매 파트너 광고","캠페인 예산 사용",0,0.338204,2026-04-08T09:33:30+0900,"클릭 후 7일 또는 조회 후 1일",433,545,3314.571429,1,actions:offsite_conversion.fb_pixel_purchase,1.284404,"평균 이하 - 광고의 하위 35%",-,23202,1169400,1.258661,5,12,7847,7847,action_values:offsite_conversion.fb_pixel_purchase,1,0.3382036
2026-04-04,2026-04-10,"[지년툰x음과검] 상시 툰 260130 - 사본",active,"인플루언서 공동구매 파트너 광고","캠페인 예산 사용",0,4.253648,2026-04-08T09:33:30+0900,"클릭 후 7일 또는 조회 후 1일",3896,6516,1293.007813,2,actions:offsite_conversion.fb_pixel_purchase,1.964395,평균,-,165505,19797525,1.672485,60,158,352000,704000,action_values:offsite_conversion.fb_pixel_purchase,2,4.25364793
2026-04-04,2026-04-10,"[연뜰살뜰x음과검] mast검사 스토리1 - 사본",active,"인플루언서 공동구매 파트너 광고","캠페인 예산 사용",0,12.587403,2026-04-08T09:33:30+0900,"클릭 후 7일 또는 조회 후 1일",7891,9997,1572.540373,8,actions:offsite_conversion.fb_pixel_purchase,1.610483,"평균 이하 - 광고의 하위 35%",-,253179,46782200,1.266886,141,376,398358.25,3186866,action_values:offsite_conversion.fb_pixel_purchase,8,12.58740259
2026-04-04,2026-04-10,"[연뜰살뜰] 스토리 5 - 사본",inactive,"인플루언서 공동구매 파트너 광고","캠페인 예산 사용",0,,2026-04-08T09:33:30+0900,"클릭 후 7일 또는 조회 후 1일",0,0,0,,,0,-,-,0,,0,,,,,,,
2026-04-04,2026-04-10,"[연뜰살뜰x음과검] 2차공구 - 사본 - 사본",active,"인플루언서 공동구매 파트너 광고","캠페인 예산 사용",0,2.520906,2026-04-08T09:33:30+0900,"클릭 후 7일 또는 조회 후 1일",61646,69215,897.197683,22,actions:offsite_conversion.fb_pixel_purchase,3.866214,"평균 이하 - 광고의 하위 35%",-,2400901,700679263,1.122782,2226,5960,275111.181818,6052446,action_values:offsite_conversion.fb_pixel_purchase,22,2.52090611
2026-04-04,2026-04-10,"[Hoox음과검종대사] 03.23-27",inactive,"인플루언서 공동구매 파트너 광고","캠페인 예산 사용",0,,2026-04-08T09:33:30+0900,"클릭 후 7일 또는 조회 후 1일",0,0,0,,,0,-,-,0,,0,,,,,,,
2026-04-04,2026-04-10,[캥맨x건기식]03.22-27,inactive,"인플루언서 공동구매 파트너 광고","캠페인 예산 사용",0,,2026-04-08T09:33:30+0900,"클릭 후 7일 또는 조회 후 1일",0,0,0,,,0,-,-,0,,0,,,,,,,
2026-04-04,2026-04-10,"[연뜰살뜰 8차] 음과검 종대사",inactive,"인플루언서 공동구매 파트너 광고","캠페인 예산 사용",0,,2026-04-08T09:33:30+0900,"클릭 후 7일 또는 조회 후 1일",0,0,0,,,0,-,-,0,,0,,,,,,,
2026-04-04,2026-04-10,"[연뜰살뜰 8차] 음과검 종대사 게시글",inactive,"인플루언서 공동구매 파트너 광고","캠페인 예산 사용",0,,2026-04-08T09:33:30+0900,"클릭 후 7일 또는 조회 후 1일",0,0,0,,,0,-,-,0,1112000,0,,11,,,,,
2026-04-04,2026-04-10,"[현서쓰고그리다x음과검] 04.01-05",inactive,"인플루언서 공동구매 파트너 광고","캠페인 예산 사용",0,7.491183,2026-04-08T09:33:30+0900,"클릭 후 7일 또는 조회 후 1일",11482,14101,650.456019,5,actions:offsite_conversion.fb_pixel_purchase,3.063613,평균,-,280997,28610558,1.228096,85,370,421000,2105000,action_values:offsite_conversion.fb_pixel_purchase,5,7.49118318
2026-04-04,2026-04-10,"[송율x음과검2] 04.08-15",active,"인플루언서 공동구매 파트너 광고","캠페인 예산 사용",0,24.098867,2026-04-08T09:33:30+0900,"클릭 후 7일 또는 조회 후 1일",418,500,571.176471,2,actions:offsite_conversion.fb_pixel_purchase,6.8,-,-,19420,3137000,1.196172,20,65,234000,468000,action_values:offsite_conversion.fb_pixel_purchase,2,24.09886715
2026-04-04,2026-04-10,"[송율x음과검4] 04.08-04.15",active,"인플루언서 공동구매 파트너 광고","캠페인 예산 사용",0,13.19002,2026-04-08T09:33:30+0900,"클릭 후 7일 또는 조회 후 1일",12636,15889,555.764341,15,actions:offsite_conversion.fb_pixel_purchase,4.059412,평균,-,358468,57544290,1.257439,488,1128,315213.333333,4728200,action_values:offsite_conversion.fb_pixel_purchase,15,13.19001975
2026-04-04,2026-04-10,"[송율x음과검3] 04.08-04.15",active,"인플루언서 공동구매 파트너 광고","캠페인 예산 사용",0,,2026-04-08T09:33:30+0900,"클릭 후 7일 또는 조회 후 1일",9,9,0,,,0,-,-,399,,1,,,,,,,
2026-04-04,2026-04-10,"[송율x음과검] 04.08-04.15",active,"인플루언서 공동구매 파트너 광고","캠페인 예산 사용",0,10.088409,2026-04-08T09:33:30+0900,"클릭 후 7일 또는 조회 후 1일",86622,98661,405.516674,65,actions:offsite_conversion.fb_pixel_purchase,4.559046,평균,-,1824014,310529555,1.138983,3659,7301,283098.461538,18401400,action_values:offsite_conversion.fb_pixel_purchase,65,10.08840941
2026-04-04,2026-04-10,"[송율x바이오컴] 04.08-04.15",active,"인플루언서 공동구매 파트너 광고","캠페인 예산 사용",0,11.539286,2026-04-08T09:33:30+0900,"클릭 후 7일 또는 조회 후 1일",2813,3422,987.929412,2,actions:offsite_conversion.fb_pixel_purchase,2.483928,-,-,83974,10802743,1.216495,64,221,484500,969000,action_values:offsite_conversion.fb_pixel_purchase,2,11.53928597
