candidate_alias_key,candidate_landing_paths,match_grade,campaign_id,campaign_name,adset_id,adset_name,ad_id,ad_name,meta_effective_status,currently_operating_status,last30_spend,meta_url_or_tags_sample,join_reason,growth_team_action,growth_team_actual_landing_url,growth_team_url_parameters,growth_team_campaign_id_confirmed,growth_team_adset_id_confirmed,growth_team_ad_id_confirmed,growth_team_checked_by,growth_team_checked_at_kst,growth_team_note
meta_biocom_haengza01_acid,/haengzassi01,B_growth_team_id_confirmed,120242626179290396,공동구매 인플루언서 파트너 광고 모음_3 (260323),120242626179270396,인플루언서 공동구매 파트너 광고,,,,,,,그로스팀이 /hangzassi01 캠페인 ID와 세트 ID를 직접 제공함.,광고 ID까지 받으면 ad-level 확정. 현재는 campaign/adset 준확정으로 사용 가능.,,,,,,,,
/nanabebe05,/nanabebe05,B_growth_team_id_confirmed_missing_in_utm_file,120245003319500396,meta_biocom_influencer_260506,120245143376260396,meta_biocom_nanabebe_260508,,,,,,,그로스팀이 /nanabebe05 캠페인 ID와 세트 ID를 제공했지만 현재 UTM 후보 사전에는 nanabebe05 alias/path 행이 없음.,UTM 관리 원장에 /nanabebe05 alias 행을 추가하고 광고 ID/URL Parameters를 보강.,,,,,,,,
meta_iiarytoon_igg,/i_iary2;/iiary02;/iiary2,B_manual_campaign_approved,120245003319500396,meta_biocom_influencer_260506,,,,,,,,,/iiary02는 TJ님 승인으로 캠페인 단위 매칭. 현재 API에는 iiari 이름 광고가 복수라 광고세트/광고 단위는 추가 ID 없이는 확정하지 않음.,/iiary02 관련 실제 광고 URL 또는 ad_id를 주면 광고세트/광고까지 승급 가능.,,,,,,,,
meta_biocom_songyuul07_igg,/songyuul07;/songyuul_07,C_name_family_only_needs_url_or_id,120245003319500396,meta_biocom_influencer_260506,120245370784880396,meta_biocom_songyuul_260512,,,,,,,Meta API에 songyuul 이름 광고세트/광고는 있으나 URL/tag에는 /songyuul07 또는 meta_biocom_songyuul07_igg가 안 보임.,/songyuul07 건은 실제 광고 URL 또는 숫자 campaign/adset/ad ID를 받아야 adset/ad까지 확정.,,,,,,,,
(generic_placeholder),,D_placeholder_needs_review,120215102309650396,"[바이오컴] 건강기능식품 - 클린, 풍성, 바이오",120217059820520396,뉴로 마스터,120245392304410396,meta_biocom_nuromaster_teamketoreel1_260512,ACTIVE,Y,196833,url_tags=utm_source=meta&utm_medium=paid_social&utm_campaign={{campaign.id}}&utm_term={{adset.id}}&utm_content={{ad.id}}&utm_id={{campaign.id}}&campaign_alias=meta_biocom_광고별칭&meta_campaig…,운용 상태 광고의 URL Parameters에 campaign/adset/ad dynamic macro와 campaign_alias placeholder가 있음,실제 클릭에서 {{campaign.id}}가 숫자로 치환되는지 확인. campaign_alias는 광고별칭 그대로 두지 말고 신규/수정 시 고유 alias로 관리.,,,,,,,,
(generic_placeholder),,D_placeholder_needs_review,120215102309650396,"[바이오컴] 건강기능식품 - 클린, 풍성, 바이오",120215102309680396,풍성밸런스,120246048461490396,meta_biocom_pungsungbalance_story1_260522,ACTIVE,Y,351,url_tags=utm_source=meta&utm_medium=paid_social&utm_campaign={{campaign.id}}&utm_term={{adset.id}}&utm_content={{ad.id}}&utm_id={{campaign.id}}&campaign_alias=meta_biocom_광고별칭&meta_campaig… | instagram_permalink_url=https://www.instagram.com/p/DYokpRvDH_v/,운용 상태 광고의 URL Parameters에 campaign/adset/ad dynamic macro와 campaign_alias placeholder가 있음,실제 클릭에서 {{campaign.id}}가 숫자로 치환되는지 확인. campaign_alias는 광고별칭 그대로 두지 말고 신규/수정 시 고유 alias로 관리.,,,,,,,,
(generic_placeholder),,D_placeholder_needs_review,120215102309650396,"[바이오컴] 건강기능식품 - 클린, 풍성, 바이오",120215102309680396,풍성밸런스,120246049125150396,meta_biocom_pungsungbalance_story2_260522,ACTIVE,Y,107,url_tags=utm_source=meta&utm_medium=paid_social&utm_campaign={{campaign.id}}&utm_term={{adset.id}}&utm_content={{ad.id}}&utm_id={{campaign.id}}&campaign_alias=meta_biocom_광고별칭&meta_campaig… | instagram_permalink_url=https://www.instagram.com/p/DYokxXRjPFI/,운용 상태 광고의 URL Parameters에 campaign/adset/ad dynamic macro와 campaign_alias placeholder가 있음,실제 클릭에서 {{campaign.id}}가 숫자로 치환되는지 확인. campaign_alias는 광고별칭 그대로 두지 말고 신규/수정 시 고유 alias로 관리.,,,,,,,,
(generic_placeholder),,D_placeholder_needs_review,120215102309650396,"[바이오컴] 건강기능식품 - 클린, 풍성, 바이오",120215102309680396,풍성밸런스,120215196385970396,풍성밸런스11_이걸안먹어서휑한거였음,ACTIVE,Y,6093,url_tags=utm_source=meta&utm_medium=paid_social&utm_campaign={{campaign.id}}&utm_term={{adset.id}}&utm_content={{ad.id}}&utm_id={{campaign.id}}&campaign_alias=meta_biocom_광고별칭&meta_campaig… | instagram_permalink_url=https://www.instagram.com/p/DYUFuAvjKiw/,운용 상태 광고의 URL Parameters에 campaign/adset/ad dynamic macro와 campaign_alias placeholder가 있음,실제 클릭에서 {{campaign.id}}가 숫자로 치환되는지 확인. campaign_alias는 광고별칭 그대로 두지 말고 신규/수정 시 고유 alias로 관리.,,,,,,,,
(generic_placeholder),,D_placeholder_needs_review,120215102309650396,"[바이오컴] 건강기능식품 - 클린, 풍성, 바이오",120215102309680396,풍성밸런스,120215107621910396,풍성밸런스5_후기_잔머리부터나요,ACTIVE,Y,59186,url_tags=utm_source=meta&utm_medium=paid_social&utm_campaign={{campaign.id}}&utm_term={{adset.id}}&utm_content={{ad.id}}&utm_id={{campaign.id}}&campaign_alias=meta_biocom_광고별칭&meta_campaig… | instagram_permalink_url=https://www.instagram.com/p/DYUFqC1jNeR/,운용 상태 광고의 URL Parameters에 campaign/adset/ad dynamic macro와 campaign_alias placeholder가 있음,실제 클릭에서 {{campaign.id}}가 숫자로 치환되는지 확인. campaign_alias는 광고별칭 그대로 두지 말고 신규/수정 시 고유 alias로 관리.,,,,,,,,
(generic_placeholder),,D_placeholder_needs_review,120235591897270396,[바이오컴] 음식물 과민증 검사 어드밴티지+캠페인(251020),120235591897230396,음식물과민증검사_관심타겟_어드밴티지+,120245494743430396,meta_biocom_igg_amondstory_260514,ACTIVE,Y,328988,url_tags=utm_source=meta&utm_medium=paid_social&utm_campaign={{campaign.id}}&utm_term={{adset.id}}&utm_content={{ad.id}}&utm_id={{campaign.id}}&campaign_alias=meta_biocom_광고별칭&meta_campaig… | instagram_permalink_url=https://www.instagram.com/p/DYTaEHEDCPW/,운용 상태 광고의 URL Parameters에 campaign/adset/ad dynamic macro와 campaign_alias placeholder가 있음,실제 클릭에서 {{campaign.id}}가 숫자로 치환되는지 확인. campaign_alias는 광고별칭 그대로 두지 말고 신규/수정 시 고유 alias로 관리.,,,,,,,,
(generic_placeholder),,D_placeholder_needs_review,120235591897270396,[바이오컴] 음식물 과민증 검사 어드밴티지+캠페인(251020),120235591897230396,음식물과민증검사_관심타겟_어드밴티지+,120245490434130396,meta_biocom_igg_milkstory_260514,ACTIVE,Y,169374,url_tags=utm_source=meta&utm_medium=paid_social&utm_campaign={{campaign.id}}&utm_term={{adset.id}}&utm_content={{ad.id}}&utm_id={{campaign.id}}&campaign_alias=meta_biocom_광고별칭&meta_campaig… | instagram_permalink_url=https://www.instagram.com/p/DYTMvPsDF_7/,운용 상태 광고의 URL Parameters에 campaign/adset/ad dynamic macro와 campaign_alias placeholder가 있음,실제 클릭에서 {{campaign.id}}가 숫자로 치환되는지 확인. campaign_alias는 광고별칭 그대로 두지 말고 신규/수정 시 고유 alias로 관리.,,,,,,,,
(generic_placeholder),,D_placeholder_needs_review,120235591897270396,[바이오컴] 음식물 과민증 검사 어드밴티지+캠페인(251020),120235591897230396,음식물과민증검사_관심타겟_어드밴티지+,120245328561040396,meta_biocom_igg_skin2_reel1_260507 - 사본,ACTIVE,Y,71448,url_tags=utm_source=meta&utm_medium=paid_social&utm_campaign={{campaign.id}}&utm_term={{adset.id}}&utm_content={{ad.id}}&utm_id={{campaign.id}}&campaign_alias=meta_biocom_광고별칭&meta_campaig… | instagram_permalink_url=https://www.instagram.com/p/DYCAAwwjDcU/,운용 상태 광고의 URL Parameters에 campaign/adset/ad dynamic macro와 campaign_alias placeholder가 있음,실제 클릭에서 {{campaign.id}}가 숫자로 치환되는지 확인. campaign_alias는 광고별칭 그대로 두지 말고 신규/수정 시 고유 alias로 관리.,,,,,,,,
(generic_placeholder),,D_placeholder_needs_review,120235591897270396,[바이오컴] 음식물 과민증 검사 어드밴티지+캠페인(251020),120235591897230396,음식물과민증검사_관심타겟_어드밴티지+,120245391104050396,meta_biocom_igg_yeonddle_reel_honeymoon_260512,ACTIVE,Y,699112,url_tags=utm_source=meta&utm_medium=paid_social&utm_campaign={{campaign.id}}&utm_term={{adset.id}}&utm_content={{ad.id}}&utm_id={{campaign.id}}&campaign_alias=meta_biocom_광고별칭&meta_campaig… | instagram_permalink_url=https://www.instagram.com/p/DYOog5AjLd4/,운용 상태 광고의 URL Parameters에 campaign/adset/ad dynamic macro와 campaign_alias placeholder가 있음,실제 클릭에서 {{campaign.id}}가 숫자로 치환되는지 확인. campaign_alias는 광고별칭 그대로 두지 말고 신규/수정 시 고유 alias로 관리.,,,,,,,,
(generic_placeholder),,D_placeholder_needs_review,120237452088280396,[바이오컴] 종합대사기능검사 전환캠페인(11/4~) - 사본,120237452088100396,종합대사기능검사 - 사본,120246030656680396,260522_종대사 지방산대사,ACTIVE,Y,113202,url_tags=utm_source=meta&utm_medium=paid_social&utm_campaign={{campaign.id}}&utm_term={{adset.id}}&utm_content={{ad.id}}&utm_id={{campaign.id}}&campaign_alias=meta_biocom_광고별칭&meta_campaig… | instagram_permalink_url=https://www.instagram.com/p/DYn_BVODP7a/,운용 상태 광고의 URL Parameters에 campaign/adset/ad dynamic macro와 campaign_alias placeholder가 있음,실제 클릭에서 {{campaign.id}}가 숫자로 치환되는지 확인. campaign_alias는 광고별칭 그대로 두지 말고 신규/수정 시 고유 alias로 관리.,,,,,,,,
(generic_placeholder),,D_placeholder_needs_review,120237452088280396,[바이오컴] 종합대사기능검사 전환캠페인(11/4~) - 사본,120237452088100396,종합대사기능검사 - 사본,120245328867460396,meta_biocom_acid_dietreel1_250507 - 사본,ACTIVE,Y,693139,url_tags=utm_source=meta&utm_medium=paid_social&utm_campaign={{campaign.id}}&utm_term={{adset.id}}&utm_content={{ad.id}}&utm_id={{campaign.id}}&campaign_alias=meta_biocom_광고별칭&meta_campaig… | instagram_permalink_url=https://www.instagram.com/p/DYCHHX_jEt7/,운용 상태 광고의 URL Parameters에 campaign/adset/ad dynamic macro와 campaign_alias placeholder가 있음,실제 클릭에서 {{campaign.id}}가 숫자로 치환되는지 확인. campaign_alias는 광고별칭 그대로 두지 말고 신규/수정 시 고유 alias로 관리.,,,,,,,,
(generic_placeholder),,D_placeholder_needs_review,120231749833120396,[바이오컴] 호르몬 검사 바이럴 소재 캠페인_0811,120231749833100396,종합호르몬분석_바이럴소재_0811,120245002839480396,[가정의달 프로모션] 종호균 프로모션 x 백수정님,ACTIVE,Y,1366709,url_tags=utm_source=meta&utm_medium=paid_social&utm_campaign={{campaign.id}}&utm_term={{adset.id}}&utm_content={{ad.id}}&utm_id={{campaign.id}}&campaign_alias=meta_biocom_광고별칭&meta_campaig… | instagram_permalink_url=https://www.instagram.com/p/DYg4sz2DOVk/,운용 상태 광고의 URL Parameters에 campaign/adset/ad dynamic macro와 campaign_alias placeholder가 있음,실제 클릭에서 {{campaign.id}}가 숫자로 치환되는지 확인. campaign_alias는 광고별칭 그대로 두지 말고 신규/수정 시 고유 alias로 관리.,,,,,,,,
(generic_placeholder),,D_placeholder_needs_review,120244876670640396,meta_biocom_acid_260504,120245070390500396,meta_biocom_acid_dietreel_250507,120245070390490396,meta_biocom_acid_dietreel1_250507,ACTIVE,Y,340600,url_tags=utm_source=meta&utm_medium=paid_social&utm_campaign={{campaign.id}}&utm_term={{adset.id}}&utm_content={{ad.id}}&utm_id={{campaign.id}}&campaign_alias=meta_biocom_광고별칭&meta_campaig… | instagram_permalink_url=https://www.instagram.com/p/DYCHHX_jEt7/,운용 상태 광고의 URL Parameters에 campaign/adset/ad dynamic macro와 campaign_alias placeholder가 있음,실제 클릭에서 {{campaign.id}}가 숫자로 치환되는지 확인. campaign_alias는 광고별칭 그대로 두지 말고 신규/수정 시 고유 alias로 관리.,,,,,,,,
(generic_placeholder),,D_placeholder_needs_review,120244876670640396,meta_biocom_acid_260504,120246030789580396,meta_biocom_acid_fatacidstory_260522,120246030789570396,meta_biocom_acid_fatacidstory_260522,ACTIVE,Y,13286,url_tags=utm_source=meta&utm_medium=paid_social&utm_campaign={{campaign.id}}&utm_term={{adset.id}}&utm_content={{ad.id}}&utm_id={{campaign.id}}&campaign_alias=meta_biocom_광고별칭&meta_campaig… | instagram_permalink_url=https://www.instagram.com/p/DYn_S2IDH5b/,운용 상태 광고의 URL Parameters에 campaign/adset/ad dynamic macro와 campaign_alias placeholder가 있음,실제 클릭에서 {{campaign.id}}가 숫자로 치환되는지 확인. campaign_alias는 광고별칭 그대로 두지 말고 신규/수정 시 고유 alias로 관리.,,,,,,,,
(generic_placeholder),,D_placeholder_needs_review,120244876670640396,meta_biocom_acid_260504,120245053918020396,meta_biocom_acid_image_muscle_260507,120245053918050396,meta_biocom_acid_musclestory1_260507,ACTIVE,Y,38610,url_tags=utm_source=meta&utm_medium=paid_social&utm_campaign={{campaign.id}}&utm_term={{adset.id}}&utm_content={{ad.id}}&utm_id={{campaign.id}}&campaign_alias=meta_biocom_광고별칭&meta_campaig… | instagram_permalink_url=https://www.instagram.com/p/DYMWDZLDGMk/,운용 상태 광고의 URL Parameters에 campaign/adset/ad dynamic macro와 campaign_alias placeholder가 있음,실제 클릭에서 {{campaign.id}}가 숫자로 치환되는지 확인. campaign_alias는 광고별칭 그대로 두지 말고 신규/수정 시 고유 alias로 관리.,,,,,,,,
(generic_placeholder),,D_placeholder_needs_review,120244876670640396,meta_biocom_acid_260504,120245053918020396,meta_biocom_acid_image_muscle_260507,120245054381320396,meta_biocom_acid_musclestory2_260507,ACTIVE,Y,301449,url_tags=utm_source=meta&utm_medium=paid_social&utm_campaign={{campaign.id}}&utm_term={{adset.id}}&utm_content={{ad.id}}&utm_id={{campaign.id}}&campaign_alias=meta_biocom_광고별칭&meta_campaig… | instagram_permalink_url=https://www.instagram.com/p/DYMWFGaDGuM/,운용 상태 광고의 URL Parameters에 campaign/adset/ad dynamic macro와 campaign_alias placeholder가 있음,실제 클릭에서 {{campaign.id}}가 숫자로 치환되는지 확인. campaign_alias는 광고별칭 그대로 두지 말고 신규/수정 시 고유 alias로 관리.,,,,,,,,
(generic_placeholder),,D_placeholder_needs_review,120244759209860396,meta_biocom_igg_260504,120245944940180396,meta_biocom_igg_amondstory_260521,120245944940170396,meta_biocom_igg_amondstory_260521,ACTIVE,Y,53886,url_tags=utm_source=meta&utm_medium=paid_social&utm_campaign={{campaign.id}}&utm_term={{adset.id}}&utm_content={{ad.id}}&utm_id={{campaign.id}}&campaign_alias=meta_biocom_광고별칭&meta_campaig… | instagram_permalink_url=https://www.instagram.com/p/DYlxtTmjD24/,운용 상태 광고의 URL Parameters에 campaign/adset/ad dynamic macro와 campaign_alias placeholder가 있음,실제 클릭에서 {{campaign.id}}가 숫자로 치환되는지 확인. campaign_alias는 광고별칭 그대로 두지 말고 신규/수정 시 고유 alias로 관리.,,,,,,,,
(generic_placeholder),,D_placeholder_needs_review,120244759209860396,meta_biocom_igg_260504,120244879011610396,meta_biocom_igg_pregnancy_260504,120244879011600396,meta_biocom_igg_pregnancy_reel1_260504,ACTIVE,Y,949564,url_tags=utm_source=meta&utm_medium=paid_social&utm_campaign={{campaign.id}}&utm_term={{adset.id}}&utm_content={{ad.id}}&utm_id={{campaign.id}}&campaign_alias=meta_biocom_광고별칭&meta_campaig… | instagram_permalink_url=https://www.instagram.com/p/DYBqy3cDKH3/,운용 상태 광고의 URL Parameters에 campaign/adset/ad dynamic macro와 campaign_alias placeholder가 있음,실제 클릭에서 {{campaign.id}}가 숫자로 치환되는지 확인. campaign_alias는 광고별칭 그대로 두지 말고 신규/수정 시 고유 alias로 관리.,,,,,,,,
(generic_placeholder),,D_placeholder_needs_review,120244759209860396,meta_biocom_igg_260504,120245065714050396,meta_biocom_igg_skin2_260507,120245065714040396,meta_biocom_igg_skin2_reel1_260507,ACTIVE,Y,316404,url_tags=utm_source=meta&utm_medium=paid_social&utm_campaign={{campaign.id}}&utm_term={{adset.id}}&utm_content={{ad.id}}&utm_id={{campaign.id}}&campaign_alias=meta_biocom_광고별칭&meta_campaig… | instagram_permalink_url=https://www.instagram.com/p/DYCAAwwjDcU/,운용 상태 광고의 URL Parameters에 campaign/adset/ad dynamic macro와 campaign_alias placeholder가 있음,실제 클릭에서 {{campaign.id}}가 숫자로 치환되는지 확인. campaign_alias는 광고별칭 그대로 두지 말고 신규/수정 시 고유 alias로 관리.,,,,,,,,
(generic_placeholder),,D_placeholder_needs_review,120244759209860396,meta_biocom_igg_260504,120244759212190396,meta_biocom_igg_skin_260429,120244759214660396,meta_biocom_igg_skin_TTSreel1_260429,ACTIVE,Y,1255228,url_tags=utm_source=meta&utm_medium=paid_social&utm_campaign={{campaign.id}}&utm_term={{adset.id}}&utm_content={{ad.id}}&utm_id={{campaign.id}}&campaign_alias=meta_biocom_광고별칭&meta_campaig… | instagram_permalink_url=https://www.instagram.com/p/DYBqrxVjJto/,운용 상태 광고의 URL Parameters에 campaign/adset/ad dynamic macro와 campaign_alias placeholder가 있음,실제 클릭에서 {{campaign.id}}가 숫자로 치환되는지 확인. campaign_alias는 광고별칭 그대로 두지 말고 신규/수정 시 고유 alias로 관리.,,,,,,,,
(generic_placeholder),,D_placeholder_needs_review,120245003319500396,meta_biocom_influencer_260506,120245700952890396,meta_biocom_iiari_260518,120245701139440396,meta_biocom_iiari_Igg_260518,ACTIVE,Y,1854655,url_tags=utm_source=meta&utm_medium=paid_social&utm_campaign={{campaign.id}}&utm_term={{adset.id}}&utm_content={{ad.id}}&utm_id={{campaign.id}}&campaign_alias=meta_biocom_광고별칭&meta_campaig… | instagram_permalink_url=https://www.instagram.com/p/DS347PzjJlX/,운용 상태 광고의 URL Parameters에 campaign/adset/ad dynamic macro와 campaign_alias placeholder가 있음,실제 클릭에서 {{campaign.id}}가 숫자로 치환되는지 확인. campaign_alias는 광고별칭 그대로 두지 말고 신규/수정 시 고유 alias로 관리.,,,,,,,,
(generic_placeholder),,D_placeholder_needs_review,120245003319500396,meta_biocom_influencer_260506,120245956430970396,meta_biocom_iiari_260518 - 사본,120245956430950396,meta_biocom_iiari_acid_260518,ACTIVE,Y,376022,url_tags=utm_source=meta&utm_medium=paid_social&utm_campaign={{campaign.id}}&utm_term={{adset.id}}&utm_content={{ad.id}}&utm_id={{campaign.id}}&campaign_alias=meta_biocom_광고별칭&meta_campaig… | instagram_permalink_url=https://www.instagram.com/p/DYn13A3jEgW/,운용 상태 광고의 URL Parameters에 campaign/adset/ad dynamic macro와 campaign_alias placeholder가 있음,실제 클릭에서 {{campaign.id}}가 숫자로 치환되는지 확인. campaign_alias는 광고별칭 그대로 두지 말고 신규/수정 시 고유 alias로 관리.,,,,,,,,
(generic_placeholder),,D_placeholder_needs_review,120245003319500396,meta_biocom_influencer_260506,120245372339680396,meta_biocom_layerd_260512,120245372339670396,meta_biocom_layerd_reel_260512,ACTIVE,Y,222868,url_tags=utm_source=meta&utm_medium=paid_social&utm_campaign={{campaign.id}}&utm_term={{adset.id}}&utm_content={{ad.id}}&utm_id={{campaign.id}}&campaign_alias=meta_biocom_광고별칭&meta_campaig… | instagram_permalink_url=https://www.instagram.com/p/DYOE2AjjFCE/,운용 상태 광고의 URL Parameters에 campaign/adset/ad dynamic macro와 campaign_alias placeholder가 있음,실제 클릭에서 {{campaign.id}}가 숫자로 치환되는지 확인. campaign_alias는 광고별칭 그대로 두지 말고 신규/수정 시 고유 alias로 관리.,,,,,,,,
(generic_placeholder),,D_placeholder_needs_review,120245003319500396,meta_biocom_influencer_260506,120245003319520396,meta_biocom_woo_260506,120245003319510396,meta_biocom_igg_woo_260506,ACTIVE,Y,1060825,url_tags=utm_source=meta&utm_medium=paid_social&utm_campaign={{campaign.id}}&utm_term={{adset.id}}&utm_content={{ad.id}}&utm_id={{campaign.id}}&campaign_alias=meta_biocom_광고별칭&meta_campaig… | instagram_permalink_url=https://www.instagram.com/p/DX_mXc7jLbw/,운용 상태 광고의 URL Parameters에 campaign/adset/ad dynamic macro와 campaign_alias placeholder가 있음,실제 클릭에서 {{campaign.id}}가 숫자로 치환되는지 확인. campaign_alias는 광고별칭 그대로 두지 말고 신규/수정 시 고유 alias로 관리.,,,,,,,,
(generic_placeholder),,D_placeholder_needs_review,120242626179290396,공동구매 인플루언서 파트너 광고 모음_3 (260323),120242626179270396,인플루언서 공동구매 파트너 광고,120245955028820396,meta_biocom_iiari_Igg_260518 - 사본,ACTIVE,Y,492742,url_tags=utm_source=meta&utm_medium=paid_social&utm_campaign={{campaign.id}}&utm_term={{adset.id}}&utm_content={{ad.id}}&utm_id={{campaign.id}}&campaign_alias=meta_biocom_광고별칭&meta_campaig… | instagram_permalink_url=https://www.instagram.com/p/DS347PzjJlX/,운용 상태 광고의 URL Parameters에 campaign/adset/ad dynamic macro와 campaign_alias placeholder가 있음,실제 클릭에서 {{campaign.id}}가 숫자로 치환되는지 확인. campaign_alias는 광고별칭 그대로 두지 말고 신규/수정 시 고유 alias로 관리.,,,,,,,,
